id;hash;loan_amt;available_amt;interest_rate;terms;create_at;update_at;currency;status
1;Seamless;36625;1510;91105;7;2022-09-28T14:13:51;2022-09-28T17:43:52;USD;ACTIVE
2;Swaziland Avon Avon;72239;41734;4058;10;2022-09-29T00:35:14;2022-09-28T20:39:10;USD;PENDING
3;well-modulated;75010;31297;86923;8;2022-09-28T22:06:28;2022-09-28T23:20:03;USD;PENDING
4;Implementation Future impactful;68572;54430;75671;2;2022-09-29T09:21:37;2022-09-28T17:41:46;USD;PENDING
5;orange port;14746;1415;31258;8;2022-09-29T00:25:38;2022-09-29T00:15:34;USD;PENDING
6;system-worthy Buckinghamshire;44003;348;85835;5;2022-09-29T04:00:53;2022-09-28T23:59:18;USD;PENDING
7;Bahraini;21478;6449;98165;7;2022-09-29T00:20:03;2022-09-28T15:40:49;USD;CLOSED
8;Loan;42616;88661;79189;3;2022-09-29T11:04:39;2022-09-28T14:49:34;USD;ACTIVE
9;Legacy Utah Quetzal;76018;39264;64554;4;2022-09-28T23:08:31;2022-09-29T09:25:24;USD;CLOSED
10;Markets Tunnel;24205;91101;58602;6;2022-09-28T18:50:31;2022-09-28T22:45:10;USD;ACTIVE
