id;hash;interest;principal;create_at;update_at;subscription_id
1;Soap killer;17071;79884;2022-09-28T22:30:44;2022-09-29T03:52:32;11
2;Checking;1714;13119;2022-09-29T08:48:40;2022-09-29T00:38:56;11
3;wireless Buckinghamshire;74131;3313;2022-09-29T02:16:14;2022-09-29T00:42:14;11
4;Skyway;77152;11298;2022-09-29T07:18:23;2022-09-28T18:02:03;11
5;Infrastructure Accountability tan;31263;67238;2022-09-29T08:04:56;2022-09-29T07:37:38;11
6;Wooden;37440;50235;2022-09-29T11:14:17;2022-09-28T19:36:02;11
7;bandwidth empower Pre-emptive;74849;78229;2022-09-29T01:57:14;2022-09-29T05:31:57;11
8;bandwidth Secured;24324;46136;2022-09-29T01:50:55;2022-09-28T23:22:54;11
9;Accountability;65074;84787;2022-09-29T04:54:01;2022-09-29T05:01:59;11
10;Dynamic viral;30005;93667;2022-09-28T13:36:23;2022-09-28T17:22:14;11
